source,page,title,url,in_master_estimate
scholar,0,Synthetic or natural? Metabolic engineering for assimilation and valorization of methanol,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,[HTML] Methylotrophs: from C1 compounds to food,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,0,Novel outlook in engineering synthetic methylotrophs and formatotrophs: a course for advancing C1-based chemicals production,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,Synthetic methylotrophy: Engineering microbes for sustainable biomanufacturing from C1 compounds,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,Advancements in biological conversion of C1 feedstocks: sustainable bioproduction and environmental solutions,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,0,[PDF] Metabolism and Physiology of Methylotrophs,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,"[HTML] Insights into C1 and C3 assimilation pathways in type I methanotrophic bacterium from co-production of 1, 2-propanediol and lactate","https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,[PDF] Synthetic methanol and formate assimilation via modular engineering and selection strategies,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,0,[HTML] Recent progress in the engineering of C1-utilizing microbes,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,0,… Methylomonas sp. DH-1 reveals key differences in transcriptional responses in C1 and secondary metabolite pathways during growth on methane and methanol,"https://scholar.google.com/scholar?start=0&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,The Regulation of Exopolysaccharide Production and of Enzymes Involved in C1 Assimilation in Methylophilus methylotrophus,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,The Energetics and Kinetics of Extracellular Polysaccharide Production From Methanol by Micro-organisms Possessing Different Pathways of C1 Assimilation,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,"Assimilation, dissimilation, and detoxification of formaldehyde, a central metabolic intermediate of methylotrophic metabolism","https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,[인용] Metabolism and physiology of methylotrophic microorganisms,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,10,C1 photochemotrophy–rethinking one-carbon metabolism in phototrophs,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,10,Biosynthesis based on one-carbon mixotrophy,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,10,Engineering Methylotrophic Yeasts as Cell Factories for Chemical Production Using Methanol as a Feedstock,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,Mixing and matching methylotrophic enzymes to design a novel methanol utilization pathway in E. coli,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,[HTML] Developing methylotrophic microbial platforms for a methanol-based bioindustry,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,10,Genome-scale evaluation of core one-carbon metabolism in gammaproteobacterial methanotrophs grown on methane and methanol,"https://scholar.google.com/scholar?start=10&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,20,Advances in synthetic methanotrophy for sustainable C1 bioconversion,"https://scholar.google.com/scholar?start=20&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,20,[PDF] Genome-scale evaluation of core one-carbon metabolism in gammaproteobacterial methanotrophs grown on methane and methanol,"https://scholar.google.com/scholar?start=20&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,20,Enzymological aspects of the pathways for trimethylamine oxidation and C1 assimilation in obligate methylotrophs and restricted facultative methylotrophs,"https://scholar.google.com/scholar?start=20&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,20,Methylotrophic Microorganisms. Metabolism and Physiology,"https://scholar.google.com/scholar?start=20&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,20,Methylamine Utilization via the N-Methylglutamate Pathway in Methylobacterium extorquens PA1 Involves a Novel Flow of Carbon through C1 Assimilation and …,"https://scholar.google.com/scholar?start=20&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,20,Synthetic C1 metabolism in Pseudomonas putida enables strict formatotrophy and methylotrophy via the reductive glycine pathway,"https://scholar.google.com/scholar?start=20&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,20,Methylotrophic Autotrophy in Beijerinckia mobilis,"https://scholar.google.com/scholar?start=20&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,20,[HTML] bioconversion and biorefinery of C1 compounds,"https://scholar.google.com/scholar?start=20&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
scholar,20,Serine-glyoxylate aminotranferases from methanotrophs using different C1-assimilation pathways,"https://scholar.google.com/scholar?start=20&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",yes
scholar,20,Comparative genomics and transcriptomics insights into the C1 metabolic model of a formaldehyde-degrading strain Methylobacterium sp. XJLW,"https://scholar.google.com/scholar?start=20&q=%22C1+assimilation%22+methanol+methylotroph&hl=ko&as_sdt=0,5",no
